id,sexo,edad,edad_r,hab,prov,ccaa,hijos,edu,cs,p1,p2,p3,p4,p5_1,p5_2,p5_3,p5_4,p5_5,p5_6,p6,p7,p8,p9_1,p9_2,p9_3,p9_4,p9_5,p9_6,p9_7,p10_1,p10_2,p10_3,p10_4,p10_5,p10_6,p10_7,p10_8,p10_9,p10_10,p10_11,p10_12,p11,p12,p13,p14,p15_1,p15_2,p15_3,p15_4,p15_5,p15_6,p15_7,p15_8,p15_9,p15_10,p15_11,p15_12,p16,p17_1,p17_2,p17_3,p17_4,p17_5,p17_6,p17_7,p17_8,p17_9,p18_1,p18_2,p18_3,p18_4,p18_5,p18_6,p19_1,p19_2,p19_3,p19_4,p19_5,p19_6,p20_1,p20_2,p20_3,p20_4,p20_5,p20_6,p20_7,p21_1,p21_2,p21_3,p21_4,p21_5,p21_6,p21_7,p22_1,p22_2,p22_3,p22_4,p22_5,p22_6,p22_7,p23_1,p23_2,p23_3,p23_4,p23_5,p23_6,p24_1,p24_2,p24_3,p25,gen_r,gen_sex,hab_r,clase_social_r,situacion_laboral_r,educacion_r,ponde
418,Mujer,61,55-64,100.001 - 500.000,Navarra,"Navarra, Comunidad Foral de","Sí, con uno/a de 18 años o más",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,D,Llego/se llega justo a final de mes,9,PP (Partido Popular),UPN (Unión del Pueblo Navarro),1,9,8,1,1,1,Vox,PP (Partido Popular),6,Mucho,Bastante,Bastante,Bastante,Bastante,Bastante,Bastante,,,,,,,Inseguridad,,Sobrecarga de servicios y recursos públicos,,,,80,Ha crecido,Son demasiadas,Poca,Televisión,Radio,,,,,,,,,,,No lo sé,Bastante de acuerdo,No lo sé,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No,No,No,Sí,Sí,Sí,Sí,,,,"Ni positiva, ni negativa","Ni positiva, ni negativa","Ni positiva, ni negativa","Ni positiva, ni negativa","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",,,,,"Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal",Mal,Mal,"Ni bien, ni mal",Regular,Regular,Bien,No lo sé,Baby Boomers - Silent Generation,Mujer [Baby Boomers - Silent Generation],Más de 10.000,Media baja / Baja,Trabaja,"Segundo grado, segundo ciclo",1.079871
419,Hombre,57,55-64,< 10.000,Castellón/Castelló,Comunitat Valenciana,No convivo con ningún/a hijo/a,Tercer Grado  1º Ciclo Equivalente a Ingeniero técnico 3 años Escuelas universitarias Ingenieros técnicos Arquitecto,E2,He tenido/se ha tenido que contraer deuda,"0 Con toda seguridad, no iría a votar",Prefiero no contestar,Prefiero no contestar,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),0 Extrema izquierda,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,,,,,,,,Desempleo,Sobrecarga de servicios y recursos públicos,,,,50,Ha crecido,Son demasiadas,Mucha,Televisión,,,,,Redes sociales,,,,,,,Mucha,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,No debería permitirse,No debería permitirse,No debería permitirse,No debería permitirse,No debería permitirse,No debería permitirse,No debería permitirse,No debería permitirse,No debería permitirse,No debería permitirse,No debería permitirse,No debería permitirse,No,No,Sí,Sí,Sí,Sí,Sí,,,Muy negativa,Muy negativa,Muy negativa,Muy negativa,Muy negativa,No me gustaría nada,No me gustaría nada,,,,,,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,Muy mal,PSOE,Generacion X,Hombre [Generacion X],Menos de 10.000,Media baja / Baja,Parado,"Tercer grado, primer ciclo",1.45509
420,Hombre,72,65+,500.000+,Barcelona,Cataluña,"Sí, con uno/a de 18 años o más",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,C,Llego/se llega justo a final de mes,7,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),7,6,2,6,5,2,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),4,Bastante,Poco,Poco,Poco,Bastante,Bastante,Poco,,,,,,,,,,Criminalidad,Pérdida de identidad cultural,,20,Ha crecido,Son demasiadas,Poca,Televisión,,Periódicos,,,,,,,,,,Bastante,Bastante de acuerdo,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,Nada de acuerdo,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,Poco de acuerdo,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No,No,No,No,Sí,No,No,,,,,"Ni positiva, ni negativa",,,"Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",No me gustaría,,No me gustaría,No me gustaría,"Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal",Regular,Regular,Regular,Vox,Baby Boomers - Silent Generation,Hombre [Baby Boomers - Silent Generation],Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",0.863921
421,Mujer,65,65+,< 10.000,Teruel,Aragón,No convivo con ningún/a hijo/a,"Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa, o 1º y 2º de ESO, hasta los 14 años)",C,Ahorro/se ahorra un poco de dinero cada mes,9,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),8,3,1,6,2,2,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),2,Bastante,Bastante,Bastante,Bastante,Bastante,Bastante,Bastante,,,,,,,Inseguridad,Desempleo,,,,,999,Ha crecido,Son demasiadas,Poca,Televisión,,,,,Redes sociales,,,,,,,No lo sé,Bastante de acuerdo,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,No lo sé,Bastante de acuerdo,Poco de acuerdo,Debería permitirse con limitaciones,No lo sé,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No debería permitirse,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No lo sé,Debería permitirse con limitaciones,No,No,No,No,No,No,No,,,,,,,,"Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal",Regular,Regular,Regular,PSOE,Baby Boomers - Silent Generation,Mujer [Baby Boomers - Silent Generation],Menos de 10.000,Media,Trabaja,"Segundo grado, primer ciclo y menos",1.474719
422,Hombre,71,65+,100.001 - 500.000,Madrid,"Madrid, Comunidad de",No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,C,He tenido/se ha tenido que echar mano del ahorro,"10 Con toda seguridad, iría a votar",PP (Partido Popular),PP (Partido Popular),0 No le votaría nunca,8,6,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,PP (Partido Popular),PP (Partido Popular),6,Mucho,Bastante,Bastante,Bastante,Mucho,Bastante,Mucho,,,,,,,Inseguridad,,Sobrecarga de servicios y recursos públicos,,,,20,Ha crecido,Son demasiadas,Bastante,Televisión,Radio,,,,,,,,,,,Poca,Poco de acuerdo,Bastante de acuerdo,Poco de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Poco de acuerdo,Muy de acuerdo,Poco de acuerdo,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No debería permitirse,No debería permitirse,Debería permitirse con limitaciones,No,No,No,No,Sí,Sí,Sí,,,,,Negativa,Negativa,"Ni positiva, ni negativa",No me gustaría,No me gustaría,No me gustaría,No me gustaría,,,,"Ni bien, ni mal",Mal,"Ni bien, ni mal",Mal,Mal,"Ni bien, ni mal",Regular,Regular,Regular,PP,Baby Boomers - Silent Generation,Hombre [Baby Boomers - Silent Generation],Más de 10.000,Media,Pensionista,"Segundo grado, segundo ciclo",0.87898
423,Hombre,65,65+,100.001 - 500.000,Burgos,Castilla y León,No convivo con ningún/a hijo/a,"Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados superiores, Facultades, Escuelas técnicas superiores, etc.",C,Ahorro/se ahorra un poco de dinero cada mes,"10 Con toda seguridad, iría a votar",PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),10 Le votaría siempre,0 No le votaría nunca,0 No le votaría nunca,9,7,0 No le votaría nunca,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),3,Poco,Nada,Mucho,Bastante,Nada,Mucho,Mucho,,Progreso económico,,,,Crecimiento demográfico,,,,,,,6,Ha crecido,Son las adecuadas,Bastante,Televisión,,,,,,,,,,,,Mucha,Bastante de acuerdo,Nada de acuerdo,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,Nada de acuerdo,Bastante de acuerdo,Nada de acuerdo,Muy de acuerdo,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No,No,Sí,No,No,No,No,,,Positiva,,,,,"Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",,"Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni bien, ni mal",Mal,Bien,Mal,Mal,"Ni bien, ni mal",Bien,Bien,Bien,PSOE,Baby Boomers - Silent Generation,Hombre [Baby Boomers - Silent Generation],Más de 10.000,Media,Pensionista,"Tercer grado, segundo ciclo y más",0.780996
424,Mujer,60,55-64,500.000+,Madrid,"Madrid, Comunidad de","Sí, con uno/a de 18 años o más","Primer Grado (Certificado escolar, 1ª etapa de EGB, más o menos hasta los 10 años)",B,Llego/se llega justo a final de mes,"10 Con toda seguridad, iría a votar",PP (Partido Popular),Ninguno,2,7,3,0 No le votaría nunca,0 No le votaría nunca,3,PP (Partido Popular),PP (Partido Popular),6,Bastante,Bastante,Bastante,Bastante,Mucho,Bastante,Bastante,,,,,,,Inseguridad,,Sobrecarga de servicios y recursos públicos,,,,20,Ha crecido,Son demasiadas,Bastante,Televisión,,Periódicos,,,,,,,,,,Poca,Bastante de acuerdo,Bastante de acuerdo,Poco de acuerdo,Muy de acuerdo,Poco de acuerdo,Muy de acuerdo,Bastante de acuerdo,Muy de acuerdo,Poco de acuerdo,Debería permitirse con limitaciones,No debería permitirse,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No debería permitirse,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,No debería permitirse,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,No,Sí,No,No,No,No,Sí,,Positiva,,,,,"Ni positiva, ni negativa","Ni me gustaría, ni me disgustaría",,"Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",,Muy mal,Muy mal,Bien,Muy mal,Muy mal,Mal,Mal,Mal,Regular,Ninguno de los anteriores,Baby Boomers - Silent Generation,Mujer [Baby Boomers - Silent Generation],Más de 10.000,Alta / Media Alta,Trabajo del hogar no remunerado,"Segundo grado, primer ciclo y menos",0.930929
425,Mujer,21,18-24,100.001 - 500.000,Madrid,"Madrid, Comunidad de",No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,B,Ahorro/se ahorra un poco de dinero cada mes,9,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),8,7,7,5,4,3,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),7,Mucho,Mucho,Poco,Mucho,Bastante,Nada,Mucho,,,,,,,,Desempleo,,Criminalidad,,,30,Ha crecido,Son demasiadas,Poca,,,,,Podcasts,Redes sociales,,,,,,,Poca,Bastante de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Poco de acuerdo,Muy de acuerdo,Nada de acuerdo,Bastante de acuerdo,Poco de acuerdo,Debería permitirse con limitaciones,No debería permitirse,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,No,No,No,No lo sé,No,No lo sé,Sí,,,,,,,Negativa,"Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",No lo sé,"Ni me gustaría, ni me disgustaría",,"Ni bien, ni mal",Bien,Muy bien,Mal,"Ni bien, ni mal",Muy bien,Mal,Muy bien,Bien,Vox,Generacion Z,Mujer [Generacion Z],Más de 10.000,Alta / Media Alta,Trabaja,"Segundo grado, segundo ciclo",0.863058
426,Mujer,51,45-54,< 10.000,Guadalajara,Castilla - La Mancha,No convivo con ningún/a hijo/a,Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,C,Llego/se llega justo a final de mes,"10 Con toda seguridad, iría a votar",Podemos,Podemos,8,0 No le votaría nunca,0 No le votaría nunca,8,10 Le votaría siempre,0 No le votaría nunca,PSOE (Partido Socialista Obrero Español),Podemos,1,Mucho,Bastante,Mucho,Mucho,Poco,Mucho,Mucho,,Progreso económico,,,,Crecimiento demográfico,,,,,,,999,Ha crecido,Son las adecuadas,Poca,Televisión,Radio,,,,,,,,,,,Mucha,Bastante de acuerdo,Nada de acuerdo,Muy de acuerdo,Nada de acuerdo,Bastante de acuerdo,Nada de acuerdo,Muy de acuerdo,Poco de acuerdo,Bastante de acuerdo,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,No lo sé,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No,No,Sí,Sí,Sí,Sí,Sí,,,Muy positiva,Muy positiva,Muy positiva,Muy positiva,Muy positiva,"Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",,,,,,Muy bien,Muy bien,Muy bien,Muy bien,Muy bien,Muy bien,Muy bien,Muy bien,Muy bien,Podemos,Generacion X,Mujer [Generacion X],Menos de 10.000,Media,Parado,"Segundo grado, segundo ciclo",0.836162
427,Mujer,50,45-54,10.001 - 20.000,Granada,Andalucía,"Sí, con uno/a de 13 a 17 años","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados superiores, Facultades, Escuelas técnicas superiores, etc.",C,Llego/se llega justo a final de mes,"10 Con toda seguridad, iría a votar",PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),9,3,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),3,Bastante,Mucho,Bastante,Mucho,Bastante,Bastante,Mucho,,,,,,Crecimiento demográfico,,Desempleo,,,,,30,Ha crecido,Son las adecuadas,Bastante,Televisión,,,,,Redes sociales,,,,,,,Bastante,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Poco de acuerdo,Poco de acuerdo,Bastante de acuerdo,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No,No,Sí,No,Sí,Sí,Sí,,,Muy positiva,,Positiva,Muy positiva,Positiva,Me gustaría,Me gustaría mucho,,Me gustaría,,,,Muy bien,Muy bien,Muy bien,Muy bien,Muy bien,Muy bien,Muy bien,Muy bien,Muy bien,PSOE,Generacion X,Mujer [Generacion X],Más de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",0.967342
428,Mujer,42,35-44,100.001 - 500.000,Pontevedra,Galicia,No convivo con ningún/a hijo/a,Tercer Grado (Máster),C,He tenido/se ha tenido que echar mano del ahorro,7,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),9,0 No le votaría nunca,0 No le votaría nunca,2,4,0 No le votaría nunca,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),3,Mucho,Mucho,Bastante,Mucho,Bastante,Bastante,Mucho,,,,,,Crecimiento demográfico,,Desempleo,,,,,999,Se ha mantenido más o menos igual,Son las adecuadas,Bastante,,Radio,Periódicos,,,,,,,,,,Poca,Poco de acuerdo,Nada de acuerdo,Poco de acuerdo,Poco de acuerdo,Nada de acuerdo,Poco de acuerdo,Nada de acuerdo,Nada de acuerdo,Poco de acuerdo,No debería permitirse,No debería permitirse,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No debería permitirse,No debería permitirse,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No lo sé,No lo sé,Sí,No lo sé,Sí,No lo sé,No lo sé,,,"Ni positiva, ni negativa",,"Ni positiva, ni negativa",,,"Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",,"Ni me gustaría, ni me disgustaría",,"Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal",Regular,Regular,Regular,PSOE,Millennials,Mujer [Millennials],Más de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",0.881243
429,Hombre,54,45-54,< 10.000,Barcelona,Cataluña,"Sí, con uno/a de 18 años o más",Segundo Grado  2ª Ciclo FP Iº y IIº Bachiller superior BUP 3º y 4º de ESO COU PREU 1º y 2º Bachillerato hasta los,D,Llego/se llega justo a final de mes,"10 Con toda seguridad, iría a votar",PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),10 Le votaría siempre,0 No le votaría nunca,0 No le votaría nunca,5,5,0 No le votaría nunca,PSOE (Partido Socialista Obrero Español),PSOE (Partido Socialista Obrero Español),3,Bastante,Poco,Bastante,Bastante,Bastante,Bastante,Bastante,,,,,Apertura global,,,,,,,,20,Ha crecido,Son las adecuadas,Poca,Televisión,,Periódicos,,,,,,,,,,Bastante,Poco de acuerdo,Nada de acuerdo,Poco de acuerdo,Nada de acuerdo,Poco de acuerdo,Poco de acuerdo,Nada de acuerdo,Poco de acuerdo,Poco de acuerdo,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No,No,Sí,No,Sí,Sí,No,,,Positiva,,Positiva,Positiva,,"Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",,Me gustaría,,,Me gustaría,"Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal",Bien,Regular,Bien,PSOE,Generacion X,Hombre [Generacion X],Menos de 10.000,Media baja / Baja,Pensionista,"Segundo grado, segundo ciclo",1.101717
430,Mujer,62,55-64,< 10.000,Málaga,Andalucía,No convivo con ningún/a hijo/a,"Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados superiores, Facultades, Escuelas técnicas superiores, etc.",C,Ahorro/se ahorra un poco de dinero cada mes,6,PP (Partido Popular),PP (Partido Popular),0 No le votaría nunca,10 Le votaría siempre,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,PP (Partido Popular),PP (Partido Popular),5,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,Mucho,,,,,,Crecimiento demográfico,,,Sobrecarga de servicios y recursos públicos,,,,25,Ha crecido,Son las adecuadas,Bastante,Televisión,,,,,Redes sociales,,,,,,,Bastante,Poco de acuerdo,Nada de acuerdo,Nada de acuerdo,Nada de acuerdo,Poco de acuerdo,Poco de acuerdo,Poco de acuerdo,Nada de acuerdo,Poco de acuerdo,No debería permitirse,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse sin limitaciones,No debería permitirse,No lo sé,No debería permitirse,No,No,Sí,Sí,Sí,Sí,Sí,,,Positiva,"Ni positiva, ni negativa",Positiva,Positiva,Positiva,No me gustaría,No me gustaría,,,,,,"Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal",Regular,Bien,Bien,PP,Baby Boomers - Silent Generation,Mujer [Baby Boomers - Silent Generation],Menos de 10.000,Media,Trabaja,"Tercer grado, segundo ciclo y más",1.133476
431,Mujer,67,65+,< 10.000,Zamora,Castilla y León,No convivo con ningún/a hijo/a,"Segundo Grado - 1º Ciclo (Graduado escolar, o EGB 2ª etapa, o 1º y 2º de ESO, hasta los 14 años)",E1,Llego/se llega justo a final de mes,No lo sé,PP (Partido Popular),PP (Partido Popular),0 No le votaría nunca,8,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,PP (Partido Popular),No voté,8,Bastante,Bastante,Bastante,Bastante,Bastante,Bastante,Bastante,,,,,,,Inseguridad,Desempleo,,,,,999,Ha crecido,Son demasiadas,Poca,Televisión,,,,,,,,,,,,No lo sé,Poco de acuerdo,Bastante de acuerdo,Poco de acuerdo,Bastante de acuerdo,Poco de acuerdo,Poco de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Bastante de acuerdo,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,No,No lo sé,Sí,No,Sí,Sí,No lo sé,,,"Ni positiva, ni negativa",,"Ni positiva, ni negativa","Ni positiva, ni negativa",,"Ni me gustaría, ni me disgustaría","Ni me gustaría, ni me disgustaría",,"Ni me gustaría, ni me disgustaría",,,"Ni me gustaría, ni me disgustaría","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal","Ni bien, ni mal",Bien,Bien,Bien,No lo sé,Baby Boomers - Silent Generation,Mujer [Baby Boomers - Silent Generation],Menos de 10.000,Media baja / Baja,Trabajo del hogar no remunerado,"Segundo grado, primer ciclo y menos",1.305993
432,Hombre,62,55-64,< 10.000,Madrid,"Madrid, Comunidad de","Sí, con uno/a de 13 a 17 años","Licenciatura, Grado - 2º Ciclo (Universitarios, Licenciados superiores, Facultades, Escuelas técnicas superiores, etc.",B,Ahorro/se ahorra bastante dinero cada mes,"10 Con toda seguridad, iría a votar",Vox,Vox,0 No le votaría nunca,0 No le votaría nunca,10 Le votaría siempre,0 No le votaría nunca,0 No le votaría nunca,0 No le votaría nunca,Vox,Vox,10 Extrema derecha,Mucho,Mucho,Nada,Nada,Mucho,Bastante,Mucho,,,,,,,Inseguridad,,,Criminalidad,,,90,Se ha mantenido más o menos igual,Son demasiadas,Mucha,,,,,,Redes sociales,,,,,,,Ninguna,Nada de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Nada de acuerdo,Muy de acuerdo,Nada de acuerdo,No debería permitirse,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse con limitaciones,Debería permitirse sin limitaciones,No debería permitirse,No debería permitirse,Debería permitirse sin limitaciones,No,Sí,Sí,No,No,Sí,No,,Muy positiva,Muy positiva,,,Muy positiva,,Me gustaría,,,No me gustaría,"Ni me gustaría, ni me disgustaría",,Me gustaría,Bien,Bien,Muy bien,Muy mal,Muy mal,Muy bien,Bien,Muy mal,Bien,Vox,Baby Boomers - Silent Generation,Hombre [Baby Boomers - Silent Generation],Menos de 10.000,Alta / Media Alta,Trabaja,"Tercer grado, segundo ciclo y más",0.941215
